system,TP,FP,FN,TN,TPR,FPR,ACC
waf,170,0,355,525,0.3238095238095238,0.0,0.6619047619047619
modsec,480,5,45,520,0.9142857142857143,0.009523809523809525,0.9523809523809523
coraza,485,5,40,520,0.9238095238095239,0.009523809523809525,0.9571428571428572
